situation,thought,reframe,thinking_traps_addressed
"My girlfriend was sad that I wanted to go out with my friends, and started a fight.",Why can't I have fun? Why must I stay home all the time?,"I wonder if there's something I'm missing in our dynamic. It's important to talk about how she feels when I go out, and is there something else that's not working in our relationship.","overgeneralizing,personalizing"
"My girlfriend was sad that I wanted to go out with my friends, and started a fight.",Why can't I have fun? Why must I stay home all the time?,"My girlfriend is telling me that she's feeling sad that I'm going out, I wonder if she's feeling left out or lonely. We should talk about how she's feeling.","overgeneralizing,personalizing"
"My girlfriend wasnt texting anyone, and did not get me anniversary present",I am scared my girlfriend is going to break up with me because I dont do much for her.,My girlfriend isn’t texting me back as quickly as she usually does She must be breaking up w/ me or just very busy,all-or-nothing thinking
"My girlfriend wasnt texting anyone, and did not get me anniversary present",I am scared my girlfriend is going to break up with me because I dont do much for her.,… or even she could’ve been kidnapped too!???,"catastrophizing,magnification"
My grandfather died one year ago,I am scared something bad will happen to the people I love,When someone I love dies I worry something bad will happen to the ones I love,"catastrophizing,fortune telling"
My grandfather died one year ago,I am scared something bad will happen to the people I love,Just because my grandpa died now other bad thing I worry will happen to my loved ones now,fortune telling
My grandma died a few years ago and my aunt recently had major surgery.,I'm scared of losing loved ones,I am afraid of losing any more loved ones.  My aunt had major surgery but she will recover.  It's not realistic to think something bad is going to happen just because my grandmother died.,catastrophizing
My grandma died a few years ago and my aunt recently had major surgery.,I'm scared of losing loved ones,I don't want to lose any more loved ones.  I may feel afraid right now but I won't always be afraid.,negative feeling or emotion
My guitar teacher told me I needed to correct my posture,I've been practicing but I'm not making any progress,I feel self conscious that my teacher is pointing out places to improve but that is this person's job!,all-or-nothing thinking
My guitar teacher told me I needed to correct my posture,I've been practicing but I'm not making any progress,I'm glad my teacher is helping me find ways to improve.,"disqualifying the positive,overgeneralizing"
My husband and his friends are always speaking Spanish in front of me and I cannot understand anything,they are saying things in front of me that they don't want me to know or understand,My husband is trustworthy and would not be deceitful towards me,"negative feeling or emotion,overgeneralizing"
My husband and his friends are always speaking Spanish in front of me and I cannot understand anything,they are saying things in front of me that they don't want me to know or understand,There are many reasons why native Spanish speakers may want to speak Spanish to each other that are not about me.,"overgeneralizing,personalizing"
My husband asked me to make sure I cleaned the cutting board better.,I do so much around here and you are harping about the cutting board?,It is possible I did not clean the cutting board well because I have many other responsibilities and that is okay,blaming
My husband asked me to make sure I cleaned the cutting board better.,I do so much around here and you are harping about the cutting board?,My husband can both appreciate what I do and ask for a need to be met,disqualifying the positive
My husband cancelled our wedding anniversary dinner.,The thought that he does not care about me anymore.,My husband canceling our plans doesn't necessarily mean he doesn't care about me anymore. We have a lot going on right now. I need to talk with him about how we can find ways to spend more time together.,"mind reading,overgeneralizing,catastrophizing"
My husband cancelled our wedding anniversary dinner.,The thought that he does not care about me anymore.,I am disappointed he canceled our plans but I should talk with him to understand why he canceled and what alternative plans we may be able to make together.,"overgeneralizing,catastrophizing"
"My husband did something for me"" even if it's clear I didn't want it.""",I don't know why I keep trying. I should just give up. Surrender. Sleep forever.,Atleast you have a husband trying to do things for you,catastrophizing
"My husband did something for me"" even if it's clear I didn't want it.""",I don't know why I keep trying. I should just give up. Surrender. Sleep forever.,Giving up here it sounds like she is suicidal “sleep forever “ not good thinking in my eyes,catastrophizing
My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend.,My husband doesn't want to spend time with me.,"I can express feeling left out to my husband, and that I would like us to have time to connect later this week. I can have a conversation with him instead of making assumptions about what he's thinking.","mind reading,overgeneralizing"
My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend.,My husband doesn't want to spend time with me.,I spend a lot of time with my partner and maybe he wants some connecting time with a friend. I have a healthy relationship with my partner.,"personalizing,overgeneralizing"
"My husband wants a divorce, I've self isolated for years, my brother died","Worthlessness, abandonment, grief",There is no connection between my brother dying and my husband wanting a divorce.,negative feeling or emotion
"My husband wants a divorce, I've self isolated for years, my brother died","Worthlessness, abandonment, grief",My husband's reasons for wanting a divorce do not mean I am worthless.,"negative feeling or emotion,labeling"
My inabilities cost me my job.,I would not find a job,I feel anxious about my work performance. I know that if I improve and try my hardest I will find something I am good at and have success.,disqualifying the positive
My inabilities cost me my job.,I would not find a job,There are things I could have done better to keep that job. I will work to grow and try to do better next time.,overgeneralizing
"My love is leaving, and there's no turning back.",What if I never see her again?,I'm feeling sad and lonely that my love has left. I hope we can reunite in the future or that I have the chance to fall in love again.,catastrophizing
"My love is leaving, and there's no turning back.",What if I never see her again?,It hurts to watch my love leave. I wonder what the future holds for me romantically but I will remember the positive parts of this relationship fondly.,fortune telling
My manager is giving more responsibilities to another co-worker.,I deserve more than the other co-worker to get more responsibilities.,Another coworker's responsibilities are not my concern,personalizing
My manager is giving more responsibilities to another co-worker.,I deserve more than the other co-worker to get more responsibilities.,What my manager decides to give my coworker has nothing to do with me,personalizing
My mom cooked me breakfast and the eggs which she knows i like over medium were over cooked. I became very upset.,frustration,"I also overcook my food sometimes, people make mistakes",disqualifying the positive
My mom cooked me breakfast and the eggs which she knows i like over medium were over cooked. I became very upset.,frustration,It was very nice of my mother to make me food and sometimes eggs get overcooked.,"disqualifying the positive,magnification"
My next door neighbors filed a complaint against us last week blaming our dogs for excessive barking,They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,Maybe we can talk to the neighbor to figure out what happened.,catastrophizing
My next door neighbors filed a complaint against us last week blaming our dogs for excessive barking,They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs.,i'm not going to lose my dogs. I can bring them indoors next time.,"overgeneralizing,catastrophizing"
My partner broke up with me and slept with someone else,No one cares about me,"My partner doesn't care about me and broke up with me, but many other people care about me.",overgeneralizing
My partner broke up with me and slept with someone else,No one cares about me,My partner and I are not together anymore but that does not mean he doesn't still care about me in some way.  I will have other relationships with people who do care deeply about me but it may not happen right away.,"overgeneralizing,mind reading"
My partner left me.,I did something wrong,"I'm feeling sad, anxious, and lonely as my partner leaves. I'm thankful for the positive parts of our relationship and will mourn this loss, but I know I will eventually find the person who is right for me.",mind reading
My partner left me.,I did something wrong,I'm feeling hurt that my partner left and I need to process how we got to this point.,"personalizing,overgeneralizing"
"My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted.",I wanted her to pay attention and not interrupt me.,"My partner should be there for her daughter. I can call her later to check in on how she is feeling, rather than making myself the priority.",personalizing
"My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted.",I wanted her to pay attention and not interrupt me.,My partner was probably distracted because her daughter is having surgery. Her daughter should be her priority right now and I shouldn't take it so personally.,personalizing
"My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something.",I don’t feel like I’m worth it.,"There are times in the past where I have been worth, so I will be worth it in the future.","all-or-nothing thinking,magnification"
"My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something.",I don’t feel like I’m worth it.,"Given the strong negative feelings I'm having, I should figure some things out. I should ask my partner why they ended things, talk to my boss about my work stress, and communicate to my friends that I'm feeling used by them.",none
My sister asked my mother about me taking care of her cats instead of asking me directly.,I don't matter.,"If my sister knew that this would hurt me, she would not have talked to me behind my back. I should tell her that I was hurt by this.","all-or-nothing thinking,labeling,negative feeling or emotion"
My sister asked my mother about me taking care of her cats instead of asking me directly.,I don't matter.,My sister should have spoken to me about this and I am uncomfortable that people were talking behind my back. I should talk to my sister about this.,"all-or-nothing thinking,labeling,negative feeling or emotion"
My sister in law won't speak to me,My sister in law thinks I am worthless,Just because my sister in law doesn’t talk with me right now things can change for future,"mind reading,negative feeling or emotion"
My sister in law won't speak to me,My sister in law thinks I am worthless,I will not base my worth on other peoples feelings of me,negative feeling or emotion
"My sister looking amazing and me looking heinous, people at school being toxic",I hate myself and im a fat pig,It's okay to feel jealous of my sister. But I can also learn to see the beauty in myself.,comparing and despairing
"My sister looking amazing and me looking heinous, people at school being toxic",I hate myself and im a fat pig,"I may not always like the way I look, but there are other things I love about myself.",disqualifying the positive
My sister put pictures of everyone but me on her holiday card,No one cares about me,This year she handed out Christmas Cards to everyone but me … I am not close to her  so it does not matter to me that she does care for my other siblings more than me.,negative feeling or emotion
My sister put pictures of everyone but me on her holiday card,No one cares about me,Maybe it was an oversight and it does not necessarily mean she does not care,overgeneralizing
My sister tried to commit suicide whilst at middle school,I was not a good enough sister,My sister has been having a really hard time but I have worked as hard as I can to support her.,"labeling,overgeneralizing"
My sister tried to commit suicide whilst at middle school,I was not a good enough sister,My sister's suicide attempt is reflective of the pain and difficulties she has been experiencing and is not a reflection on me.,"labeling,overgeneralizing,personalizing"
My son threw a tantrum at an indoor playground and I had to carry him out kicking and screaming,I'm a bad mom,i'm a great mom. my son was just having a bad day.,labeling
My son threw a tantrum at an indoor playground and I had to carry him out kicking and screaming,I'm a bad mom,all kids throw tantrums sometimes. this is normal.,"labeling,negative feeling or emotion"
My spouse became verbally abusive with me.,He might hit me,I am allowed to leave and call for help.,none
My spouse became verbally abusive with me.,He might hit me,"If I feel unsafe, I can leave the situation.",none
My spouse got a new gaming console and spends most of his free time playing video games.,I am not good enough for him.,"My spouse found a new hobby, I'm happy for him! With this new free time I have, I should find a new hobby as well, maybe there is a game I want to play too.","labeling,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,mind reading,personalizing,catastrophizing"
My spouse got a new gaming console and spends most of his free time playing video games.,I am not good enough for him.,"My spouse is doing something he really enjoys, I'm glad he is having fun! I will ask him if we can schedule a date later this week to get some quality time together.","labeling,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,mind reading,personalizing,catastrophizing"
My teenage child wanted to go out with friends and I said no,"I feel horrible about it, I must be a bad parent","I'm feeling horrible for saying no, but that doesn't necessarily mean I'm a bad parent. I may need to be harsh at times, but there are also times when I'm gentle and kind",emotional reasoning
My teenage child wanted to go out with friends and I said no,"I feel horrible about it, I must be a bad parent","I'm feeling horrible, but a good parent is harsh when they need to be",emotional reasoning
My uncle was in a serious accident and ignorant members of my family did not contact me and let me know.,The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle.,My family members may have had to rush to the hospital and maybe they didn't have time to call me.,mind reading
My uncle was in a serious accident and ignorant members of my family did not contact me and let me know.,The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle.,This should be about my uncle and I should not make the situation about me.,personalizing
My wife accused me of cheating.,She doesn't trust me.,I'm assuming that she doesn't trust me. I just need to ask her what's going on.,mind reading
My wife accused me of cheating.,She doesn't trust me.,"It hurts to think that she doesn't trust me, but I need to ask her why she accused me of cheating.",mind reading
My wife didn't look up from her phone or answer me when I came to talk to her.,Am I not worth her time?,Maybe my wife is busy at the moment and I should come back in a few minutes. I'm sure she will give me her time if I wait until after she isn't busy.,all-or-nothing thinking
My wife didn't look up from her phone or answer me when I came to talk to her.,Am I not worth her time?,"I am worth my wife's time, but not 24/7. Just because she is busy does not mean she doesn't love me.",labeling
My wife has left me.,I'm going to be alone,"Being left by my wife hurts, but it doesn't necessarily means I will be alone forever.",catastrophizing
My wife has left me.,I'm going to be alone,"The end of my relationship is hard, and maybe it was the right thing and I can now live a life that is worth living for me.",disqualifying the positive
My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself,i was letting her down and she felt pressured by my actions,I am glad my wife felt comfortable enough to communicate her concerns with me so we can work together to find a solution.,mind reading
My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself,i was letting her down and she felt pressured by my actions,Our financial stressors as a couple are high right now. There are other parts of our relationship that are going well. I know my wife values how hard I work at taking care of our children and keeping our house organized.,overgeneralizing
"My wife, asked me very kindly, to finally clean the bathroom shower in our bathroom, and I got upset by this.","I'm busy doing something else, it's not like I haven't tried to get to that chore!",I am feeling overwhelmed with everything I need to do. I have neglected cleaning the shower for a couple of weeks. I should budget the time to complete that tomorrow and get it finished.,"negative feeling or emotion,emotional reasoning,blaming"
"My wife, asked me very kindly, to finally clean the bathroom shower in our bathroom, and I got upset by this.","I'm busy doing something else, it's not like I haven't tried to get to that chore!",She is not necessarily telling me that I am not working hard enough on other tasks and demands in our lives. She is communicating her need for support with one specific task. I will work on fulfilling my commitments when I commit to doing so.,"negative feeling or emotion,emotional reasoning,blaming"
No trust,I am scared something bad will happen to the people I love,How are they doing in this moment?  Come back to this moment … It is only your anxiety and worry talking …,"catastrophizing,fortune telling,magnification"
No trust,I am scared something bad will happen to the people I love,Try focusing  on something else when those thoughts happen,negative feeling or emotion
Nobody finds me attractive other then my boyfriend,I am ugly,You have many good qualities about you,labeling
Nobody finds me attractive other then my boyfriend,I am ugly,You are not ugly you were born with beautiful curly hair,negative feeling or emotion
Once I was unemployed because I had many faults at work,Having done things wrong,it's true that i have done a lot of wrong things. i have gotten better and will continue to improve,personalizing
Once I was unemployed because I had many faults at work,Having done things wrong,That was in the past. i have grown a lot and don't have as many faults now.,"personalizing,negative feeling or emotion,all-or-nothing thinking"
Our forest inventory data is due in less than three days and I still have over 100 plots to do.  The date cannot be missed and my superiors expect it completed.,I have at least four normal days of plot work needing done in three days,I have a lot of work to do and this deadline is important to me. I should discuss this with my supervisors to see if I can get any help with this project.,"negative feeling or emotion,comparing and despairing,all-or-nothing thinking"
Our forest inventory data is due in less than three days and I still have over 100 plots to do.  The date cannot be missed and my superiors expect it completed.,I have at least four normal days of plot work needing done in three days,"I will do my best to get the work done, and I trust that my supervisor will be reasonable if I cannot meet the deadline.","negative feeling or emotion,comparing and despairing,all-or-nothing thinking"
Recent panic attack,I'm not going to live up to my expectations for my future,"I had a panic attack recently but that doesn't mean I have to give up on my future.  I may never have another panic attack, but if I do I can learn how to manage the reaction I have.  They are more common than people realize and it doesn't mean I don't have a future.",catastrophizing
Recent panic attack,I'm not going to live up to my expectations for my future,panic attacks are very scary but they don't have to limit my future expectations.  Many people have panic attacks and become very successful.  I can try medication or exposure therapy to increase the chances of being successful.,fortune telling
"Recent rape, prior trauma, isolation, boredom, loneliness, feeling abandoned and so alone",I can't get through this,I am being victimized and traumatized but I can do something about this,emotional reasoning
"Recent rape, prior trauma, isolation, boredom, loneliness, feeling abandoned and so alone",I can't get through this,Listing my feelings helps some,negative feeling or emotion
"Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party.",I felt left out and singled out in the office and wondered if the person had a personal grudge against me.,There may be many reasons this person did not invite me to their party.,"mind reading,personalizing"
"Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party.",I felt left out and singled out in the office and wondered if the person had a personal grudge against me.,It does not feel good to be left out but that does not mean it was personal,personalizing
Rejected from my dream company,I never get what I want,Most times I do not get I want. I think I will have to settle for a less desirable company,overgeneralizing
Rejected from my dream company,I never get what I want,Never? Think about the instances when I was able to achieve what I wanted,overgeneralizing
Someone criticized the way I dealt with a patient saying that I was too short tempered with them.,"I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me.",I know the details of this situation and was the person involved so my response style is for me to decide,personalizing
Someone criticized the way I dealt with a patient saying that I was too short tempered with them.,"I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me.",People can give me feedback and I can take or leave it.,personalizing
Someone pushed me and made me bleed,I feel like people out there try to take advantage of me and also betray me .,I don't know why they pushed me. Maybe it had nothing to do with me.,mind reading
Someone pushed me and made me bleed,I feel like people out there try to take advantage of me and also betray me .,"One person mistreated me, but there are other people who care about me.",overgeneralizing
Someone started a rumor that I'd been banned from an online community when in fact I hadn't. Many people chose to attack my character and one person called me a bully. When I dispelled the rumor and defended myself I was denied an opportunity to defend myself and insulted further.,I am a bad person.,"I cannot control what people think about me, I know I am a good person.","labeling,negative feeling or emotion"
Someone started a rumor that I'd been banned from an online community when in fact I hadn't. Many people chose to attack my character and one person called me a bully. When I dispelled the rumor and defended myself I was denied an opportunity to defend myself and insulted further.,I am a bad person.,"This was a misunderstanding, and it was hurtful, but that doesn't make me a bad person.","labeling,negative feeling or emotion"
Stomach ache every day,I might be having a serious illness,A stomach ache could be due to stress or worry and may not cause serious illness.   I have a tendency to think the worst instead being practical.  If I reduce my stress I may find my stomach no longer hurts.,catastrophizing
Stomach ache every day,I might be having a serious illness,A stomach ache is not necessarily indicative of serious illness.  I won't know what it means unless I go to a doctor.,fortune telling
That's what my mom tells me growing up,I'm worthless,No one is completely worthless.  I can always find good things about other people and one day I will be able to see that I have value.,overgeneralizing
That's what my mom tells me growing up,I'm worthless,Just because my mom told me that all my life doesn't make it true.  I know I have value because I have demonstrated good qualities to my friends and co-workers.,"overgeneralizing,emotional reasoning"
"The guy I'm dating went home early one night and I got upset because I thought it meant he didn't want to see me anymore, but I was wrong.",I guess he doesn't like me anymore,"I will reach out to him to discuss how he's been feeling, I cannot know what he is thinking or feeling.",mind reading
"The guy I'm dating went home early one night and I got upset because I thought it meant he didn't want to see me anymore, but I was wrong.",I guess he doesn't like me anymore,"I didn't know why he did that, and what I thought wasn't correct, but that doesn't mean he doesn't like me anymore.","mind reading,negative feeling or emotion,overgeneralizing"
The host of a party is giving me one-word responses when I try to talk to them,I feel like an outcast,I'm feeling like an outcast and I'm unable to talk to people. But let's see if there are other fun things to do at the party,emotional reasoning
The host of a party is giving me one-word responses when I try to talk to them,I feel like an outcast,"I'm feeling like an outcast, but so do many others",emotional reasoning
The team captain on my gaming team approached me to try to remove me as the vice captain on the team citing that they didn't think I was doing enough to assist them.,You hardly communicate what you need at all. How am I supposed to help?,This seems like a miscommunication. I am going to reach out to them to better understand the expectations they have for the specific time and tasks required for this role.  Then I can clarify if I can fulfill that moving forward.,"personalizing,blaming,negative feeling or emotion"
The team captain on my gaming team approached me to try to remove me as the vice captain on the team citing that they didn't think I was doing enough to assist them.,You hardly communicate what you need at all. How am I supposed to help?,I need to take a step back and be less defensive about this decision they made. I have been busier lately and maybe there is someone that would have more time to commit to this position.,"personalizing,blaming,negative feeling or emotion"
They are racist,I hate Republicans,It's okay to feel angry at people who do hurtful things.,negative feeling or emotion
They are racist,I hate Republicans,Some Republicans are racist. That doesn't mean I hate all of them,negative feeling or emotion
They did not convert me as permanent at work,I'm a failure,There may be a good reason why they didn't keep me on permanently at work.  I know I have a lot to learn and I am willing to do better.  That does not make me a failure.  I have excelled at many things in life and work is only part of who I am.,all-or-nothing thinking
They did not convert me as permanent at work,I'm a failure,I am not a failure.  There are lots of reasons why they may not have kept me on as permanent at work.  I am worthy of employment and one day will find a place that appreciates me.,labeling
Three days have passed since my job interview and I didn't receive any updates,I didn't get the job,I don't know yet whether I got the job. I will only know it when I hear back from the recruiter,fortune telling
Three days have passed since my job interview and I didn't receive any updates,I didn't get the job,"I may not get the job, but I can apply again. I'll have to put more effort, but let's see what the future holds.",fortune telling
Threw a conniption when unable to complete an Amigurumi project for my niece.,I am unable to do this simply damned thing.,I am upset with myself because I hold high expectations of myself and my actions. I am allowed to be upset and I can ask for help if I need it.,"all-or-nothing thinking,negative feeling or emotion,labeling"
Threw a conniption when unable to complete an Amigurumi project for my niece.,I am unable to do this simply damned thing.,"I didn't finish the project yet and that is okay! I have been busy and if this is important to me, I will get it done.","all-or-nothing thinking,negative feeling or emotion,labeling"
"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours.",Why would you wait until the last minute to ask me this.,This task is a particularly challenging one - neither of us estimated it would take this long to finish it.,blaming
"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours.",Why would you wait until the last minute to ask me this.,He is asking me to stay late today but this is a one-off and he doesn't ask me to do that often.,disqualifying the positive
We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me.,I feel unloved and unwanted by my mother and siblings,"My family may not know about the tornadoes. I am sure if they did, they would reach out because I know they care about me. Just because they don't check in this one time, does not mean I am not loved by them.",all-or-nothing thinking
We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me.,I feel unloved and unwanted by my mother and siblings,"It is possible nobody in my extended family heard about the tornadoes. I am sure if they did, they would reach out.",emotional reasoning
"When I told my friend about my job, he said it has little real-world significance",My job is worthless,"I have a job, even though it has little worth",overgeneralizing
"When I told my friend about my job, he said it has little real-world significance",My job is worthless,My friend is pessimistic anyways. I truly believe my job has some value,overgeneralizing
"When doing some piecework online, I was told that my work was not good.","I worked hard on these jobs, and was sure I had done well.",My style of work may not fit the company that hired me. I want to be open and ask for specific feedback on their expectations.,negative feeling or emotion
"When doing some piecework online, I was told that my work was not good.","I worked hard on these jobs, and was sure I had done well.","It's okay if people don't like my work. It doesn't mean that I don't work hard, or that others may also like my work.",overgeneralizing
"While I was at work, my supervisor questioned my decision in a negative tone infront of my peers.",She needs to stop discussing this.,I was embarrassed and I should give my boss feedback that I was feeling defensive. Hopefully we can resolve this in the future.,"negative feeling or emotion,blaming,mind reading"
"While I was at work, my supervisor questioned my decision in a negative tone infront of my peers.",She needs to stop discussing this.,My supervisor was being unfair to me by discussing this in front of people and I was hurt. I should talk to her in private about this and how I would like to receive feedback in the future.,"negative feeling or emotion,blaming,mind reading"
"While in a group voice chat, everyone left me without saying goodbye.",Does nobody want to talk to me?,maybe i didnt hear them say goodbye,"mind reading,personalizing"
"While in a group voice chat, everyone left me without saying goodbye.",Does nobody want to talk to me?,my phone might have accidentally dropped the call,personalizing
Working on a project with Python and have not gotten it to successfully run.,Why is it still messed up?,The code gets better every time I run it.,all-or-nothing thinking
Working on a project with Python and have not gotten it to successfully run.,Why is it still messed up?,Python is tricky. I am trying my best.,disqualifying the positive
Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like?,Would anyone care if I died?,"A lot of people would care if I died, like my friends and family.",overgeneralizing
Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like?,Would anyone care if I died?,"Yes, at least one person would care if I died.",overgeneralizing
a girl i really liked would not go out on a date with me,im not very attractive,This girl and I did not work out but there are other people who may be a better fit for me,all-or-nothing thinking
a girl i really liked would not go out on a date with me,im not very attractive,This girl could have said no for many reasons that may have nothing to do with my attractiveness.,"labeling,all-or-nothing thinking"
everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this.,No one cares about me,"If my friends are treating me poorly or ignoring, then maybe they aren't friends that I need to have in my life.",all-or-nothing thinking
everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this.,No one cares about me,"My friends are treating me poorly, but that doesn't mean they don't care about me. They might be struggling and lashing out because of that.",all-or-nothing thinking
going through toys that reminded me of the time period that id been abused for,I will go crazy if I don't control my racing thoughts,Abuse is never the victim's fault. I can take steps to protect myself in the future without blaming myself for what happened in the past.,blaming
going through toys that reminded me of the time period that id been abused for,I will go crazy if I don't control my racing thoughts,Victims of abuse often feel shame and blame themselves. I can move past the abuse by learning to accept myself.,blaming
hearing loss caused by listening to music too loudly when younger,I am a failure,I should never have listened to loud music,negative feeling or emotion
hearing loss caused by listening to music too loudly when younger,I am a failure,Hearing loss is not caused by you listening to loud music It can be heredity or in your family and not your fault It just is,none
high school flashbacks of bullying from when I was conducting placement practice hours,I'm never going to be useful to society and it isn't worth living in because humans are extremely hard to understand,I feel I will never accomplish anything in life  so I give up or maybe 🤔 a trauma counselor can help me get thru this,"overgeneralizing,fortune telling,negative feeling or emotion"
high school flashbacks of bullying from when I was conducting placement practice hours,I'm never going to be useful to society and it isn't worth living in because humans are extremely hard to understand,I give up on life because I am having difficulty with flashbacks of highschool,"overgeneralizing,fortune telling,negative feeling or emotion"
i and my brother were working in the same office were i am his senior and when he does careless mistakes my boss warned me as i am his senior who is responsible for his work,my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,"I want to support my brother, and it feels challenging to navigate our different roles and power dynamics.",none
i and my brother were working in the same office were i am his senior and when he does careless mistakes my boss warned me as i am his senior who is responsible for his work,my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior,"Maybe my brother needs some support with the work that he's doing, and my boss, brother and I should all sit down together and talk.",overgeneralizing
i ate too much and too fast to temporarily please myself but not because i felt hunger,i am not able to control my eating habits,I ate too fast even though I wasn't hungry and now I feel as though I can't control my eating habits.  I have been able to control my eating in the past and I will do so again.,negative feeling or emotion
i ate too much and too fast to temporarily please myself but not because i felt hunger,i am not able to control my eating habits,I was feeling bad about something that happened today and I consoled myself with food.  I don't do that on a regular basis so saying that I'm not able to control my eating habits is not true.  I will find better ways to deal with stress at work.,overgeneralizing
i celebrated a past holiday by myself,why don't i have friends? why am i not social? SIGH!,"I didnt reach out to anybody to see if they wanted to get together for the holiday. I am sure if I had reached out, people would have been available. Next time, I should plan ahead.",all-or-nothing thinking
i celebrated a past holiday by myself,why don't i have friends? why am i not social? SIGH!,"Just because I spent the holiday alone, doesn't mean that I do not have friends. My friends probably had other plans with their family, and I am sure if I had asked around, I would have found something to do. One event spent alone does not mean I do not have friends.",overgeneralizing
i dont wanna continue with this life,im ready to die,I want to live,"emotional reasoning,disqualifying the positive"
i dont wanna continue with this life,im ready to die,I'm not ready to die,"negative feeling or emotion,emotional reasoning"
"i still can't speak or understand korean, even after 6 months here",i'm not good enough,"I am good enough just the way I am.  It may take me longer to learn a new language, but I am doing the best that I can and I know that I will improve.",all-or-nothing thinking
"i still can't speak or understand korean, even after 6 months here",i'm not good enough,"Although other people have learned Korean quicker and have lived here the same amount of time that I have, that does not mean I am not good enough.  My self worth is not defined by how quickly I learn a new langlkuage.",overgeneralizing
im scared of the human mind,i cant trust people,"Although I am scared and I feel that I can't trust people right now, there are things I can do to change that.  I can go to therapy and I can practice learning to trust people in a safe environment.",emotional reasoning
im scared of the human mind,i cant trust people,To say I can't trust people is trying to predict the future.  I am focusing only on my fear and ignoring the facts.  It is possible that there are many people I can trust.  I can definitely improve the odds by seeing a counselor to help me deal with my fears.,fortune telling
"it's so hard to do school work, get out of bed, care for myself, and eat",I'm so exhausted,I have a lot going on right now. It makes sense that I am tired.,negative feeling or emotion
"it's so hard to do school work, get out of bed, care for myself, and eat",I'm so exhausted,I'm feeling exhausted because of everything life is throwing at me. Maybe this is a sign to take a break.,negative feeling or emotion
last week i went in for a job interview that i thought went very well but then i didnt get the job,ill never be able to find a good job,There are many reasons why I may not have gotten this job and this experience does not dictate my future,"fortune telling,catastrophizing"
last week i went in for a job interview that i thought went very well but then i didnt get the job,ill never be able to find a good job,This job may not have worked out but I got interview practice for my next one.,"fortune telling,catastrophizing"
"my neighbors downstairs were having a party, and would not be quiet so i had to call the police and not get any sleep before work",I am being disrespected,My neighbors were loud and I had a difficult decision. I'm sure they weren't trying to keep me awake.,"labeling,disqualifying the positive,negative feeling or emotion"
"my neighbors downstairs were having a party, and would not be quiet so i had to call the police and not get any sleep before work",I am being disrespected,My neighbors did not realize the volume of their party.,"labeling,disqualifying the positive,negative feeling or emotion"
"one of my friend posted a video of a spider getting inside a car, and she so happened to have had her car broken into. So i asked her if the police found whoever broke into her car, and she totally ignored me",maybe she doesn't like me anymore.,My friend is probably feeling pretty low after having her car broken into. She is probably not responding because she is not feeling great. I should try to reach back out later to see if I can do something to cheer her up.,mind reading
"one of my friend posted a video of a spider getting inside a car, and she so happened to have had her car broken into. So i asked her if the police found whoever broke into her car, and she totally ignored me",maybe she doesn't like me anymore.,"My friend is probably really busy dealing with her car getting broken into, she will probably respond to me later.",personalizing
